subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,gallina_POLLO,6,español_si,324,Cz,0.3,0.5,0.4650134519817165,1,esp
001,gallina_POLLO,6,español_si,324,Cz,0.5,0.8,0.5242967732205442,1,esp
001,gallina_POLLO,6,español_si,324,Pz,0.3,0.5,1.603687531032707,1,esp
001,gallina_POLLO,6,español_si,324,Pz,0.5,0.8,-0.9465977182220161,1,esp
001,rugir_OÑARÕ,5,reciente_si,320,Cz,0.3,0.5,-3.2226089182838153,1,rec
001,rugir_OÑARÕ,5,reciente_si,320,Cz,0.5,0.8,-0.6414622452113823,1,rec
001,rugir_OÑARÕ,5,reciente_si,320,Pz,0.3,0.5,0.5488630070422704,1,rec
001,rugir_OÑARÕ,5,reciente_si,320,Pz,0.5,0.8,-0.6986668142169594,1,rec
001,nene_MITÃ'I,4,remoto_si,320,Cz,0.3,0.5,0.3325511641227282,1,rem
001,nene_MITÃ'I,4,remoto_si,320,Cz,0.5,0.8,-0.9719291947341832,1,rem
001,nene_MITÃ'I,4,remoto_si,320,Pz,0.3,0.5,-1.4408338170234436,1,rem
001,nene_MITÃ'I,4,remoto_si,320,Pz,0.5,0.8,-4.178181682764584,1,rem
001,panadería_LAGO,3,español_no,315,Cz,0.3,0.5,-0.017868688473334747,0,esp
001,panadería_LAGO,3,español_no,315,Cz,0.5,0.8,0.21529508057155972,0,esp
001,panadería_LAGO,3,español_no,315,Pz,0.3,0.5,0.6949917198552823,0,esp
001,panadería_LAGO,3,español_no,315,Pz,0.5,0.8,2.0408996356894384,0,esp
001,televisor_PÝRA,2,reciente_no,328,Cz,0.3,0.5,0.9584708742152616,0,rec
001,televisor_PÝRA,2,reciente_no,328,Cz,0.5,0.8,1.4756651938372567,0,rec
001,televisor_PÝRA,2,reciente_no,328,Pz,0.3,0.5,5.254916363109189,0,rec
001,televisor_PÝRA,2,reciente_no,328,Pz,0.5,0.8,3.4464451447713684,0,rec
001,hoja_CHE,1,remoto_no,320,Cz,0.3,0.5,2.407196229323745,0,rem
001,hoja_CHE,1,remoto_no,320,Cz,0.5,0.8,3.9216028776110305,0,rem
001,hoja_CHE,1,remoto_no,320,Pz,0.3,0.5,4.995364473631175,0,rem
001,hoja_CHE,1,remoto_no,320,Pz,0.5,0.8,7.299446667668974,0,rem
001,comida_AVATI'I,5,reciente_si,315,Cz,0.3,0.5,-0.9373459209902925,1,rec
001,comida_AVATI'I,5,reciente_si,315,Cz,0.5,0.8,0.4747273125402965,1,rec
001,comida_AVATI'I,5,reciente_si,315,Pz,0.3,0.5,8.190194892768675,1,rec
